id,slug,startup_name,about,description,website,category,subcategory,funding_stage,funding_amount,funding_amount_usd,valuation_display,valuation_usd,total_raised_display,last_round_date,investors,headquarters,city,country,region,founded_year,status,status_note,source,source_urls,date_added,last_updated,last_verified,verification_status,tags,notes
037,cognition,Cognition,Devin — the autonomous AI software engineer; owns Windsurf,"Cognition builds Devin, the AI software engineer that plans and executes multi-step engineering work, and acquired code-editor Windsurf in 2025. It raised $1B at a $26B valuation in May 2026 — more than doubling in eight months — with $492M ARR. In August 2026 Bloomberg reported talks for a new round that could value the company at $40B+.",https://cognition.ai,AI Agents,Software Engineering,Series C,$1B,1000000000,$26B (May 2026),26000000000,~$2.1B across 8 rounds,2026-05-27,Lux Capital; General Catalyst; 8VC; Founders Fund; a16z,"San Francisco, USA",San Francisco,USA,North America,2023,active,,"Cognition (official), Bloomberg, TechCrunch",https://cognition.ai/blog,2026-02-28,2026-09-07,2026-09-07,verified,devin; coding-agents; windsurf,Aug 2026: reported talks at $40B+ valuation (Bloomberg).
038,decagon,Decagon,Enterprise AI agents for customer support,"Decagon deploys AI support agents that resolve complex customer tickets across chat, email, and voice for enterprises including Notion and Substack. It raised a $250M Series D at a $4.5B valuation in January 2026, led by Coatue and Index Ventures — tripling its $1.5B valuation from June 2025 — with total funding above $500M.",https://decagon.ai,AI Agents,Customer Support,Series D,$250M,250000000,$4.5B (Jan 2026),4500000000,$500M+ across 5 rounds,2026-01-27,Coatue Management; Index Ventures; Accel; a16z,"San Francisco, USA",San Francisco,USA,North America,2023,active,,"Bloomberg, Forbes, Decagon (official)",https://decagon.ai/news,2026-09-07,2026-09-07,2026-09-07,verified,support-agents; enterprise,
039,harvey,Harvey,AI platform for law firms and professional services,"Harvey builds domain-tuned AI for legal research, drafting, and workflow automation, used by top law firms and in-house teams. It raised $200M at an $11B valuation in March 2026 (GIC and Sequoia leading), months after an $8B round in December 2025, and passed $350M ARR. The Information reported talks to raise $500M at $15.5B in August 2026.",https://www.harvey.ai,AI Agents,Legal,Series G,$200M,200000000,$11B (Mar 2026),11000000000,~$806M across 7 rounds,2026-03-25,GIC; Sequoia Capital; a16z; Coatue; Kleiner Perkins,"New York, USA",New York,USA,North America,2022,active,,"Harvey (official), Reuters, CNBC",https://www.harvey.ai/blog,2026-09-07,2026-09-07,2026-09-07,verified,legal-ai; professional-services,Aug 2026: reported talks at $15.5B valuation (The Information).
040,instinct,Instinct,Invite-only personal AI assistant startup,"Instinct is building a general-purpose personal AI assistant, founded by 23-year-old Noah Shinn, operating invite-only while scaling. It raised a $250M Series B at a $2.5B valuation in August 2026, co-led by Index Ventures and Benchmark, making it one of the fastest seed-to-Series-B jumps of the year.",https://instinct.co,AI Agents,Personal Assistants,Series B,$250M,250000000,$2.5B (Aug 2026),2500000000,$300M+,2026-08-26,Index Ventures; Benchmark,"San Francisco, USA",San Francisco,USA,North America,2025,active,,"WSJ, Yahoo Finance, AI Pressroom",https://www.wsj.com/tech/ai,2026-09-07,2026-09-07,2026-09-07,partial,personal-assistant; consumer,"Round terms reported by WSJ (Aug 26, 2026); company blog confirmation pending."
041,langchain,LangChain,"Platform for building, deploying, and observing AI agents","LangChain provides the leading open-source framework for LLM application development plus LangSmith for observability and LangGraph for agent orchestration. It raised $125M at a $1.25B valuation in October 2025, led by IVP with Sequoia participating, positioning itself as the platform for agent engineering.",https://www.langchain.com,AI Agents,Agent Infrastructure,Series B,$125M,125000000,$1.25B (Oct 2025),1250000000,~$260M across 4 rounds,2025-10-20,IVP; Sequoia Capital; Benchmark; Lux Capital,"San Francisco, USA",San Francisco,USA,North America,2022,active,,"LangChain (official), TechCrunch",https://www.langchain.com/blog,2026-09-07,2026-09-07,2026-09-07,verified,langgraph; langsmith; agent-framework,
042,legora,Legora,Collaborative AI for legal work (formerly Leya),"Legora builds a collaborative AI workspace for lawyers — research, drafting, and contract analysis — adopted by firms across 25+ markets. It completed a $550M Series D at a $5.5B valuation in March 2026 led by Accel, then a $50M extension in April taking the round to $600M at $5.6B — tripling its October 2025 valuation.",https://legora.com,AI Agents,Legal,Series D,$600M,600000000,$5.6B (Apr 2026),5600000000,~$700M across 5 rounds,2026-04-30,Accel; Icon Ventures; Redpoint; Y Combinator,"Stockholm, Sweden",Stockholm,Sweden,Europe,2022,active,,"Legora (official), Bloomberg, Crunchbase News",https://legora.com/news,2026-09-07,2026-09-07,2026-09-07,verified,legal-ai; europe; sweden,
043,sierra,Sierra,Agentic AI platform for enterprise customer experience,"Sierra, co-founded by OpenAI chairman Bret Taylor, builds autonomous AI agents that handle customer service end-to-end for enterprises like SiriusXM and Sonos. It raised a $950M round at a $15.8B post-money valuation in May 2026, led by Tiger Global and GV — up from $10B in late 2025.",https://sierra.ai,AI Agents,Customer Experience,Series E,$950M,950000000,$15.8B post-money (May 2026),15800000000,~$1.6B across 5 rounds,2026-05-04,Tiger Global; GV; Greenoaks Capital; ICONIQ; Sequoia,"San Francisco, USA",San Francisco,USA,North America,2023,active,,"Sierra (official), CNBC, TechCrunch",https://sierra.ai/news,2026-02-28,2026-09-07,2026-09-07,verified,customer-service; voice-agents; enterprise,
044,blossom,Blossom,AI-native project management for software teams,"Blossom is an AI-native project management tool for software teams from Berlin, predicting risks and automating sprint planning. Its verifiable funding remains a $2M seed (2022); earlier higher figures in this tracker could not be corroborated and have been corrected.",https://www.blossom.co,SaaS,Project Management,Seed,$2M,2000000,Undisclosed,,$2M,2022-08-15,Signalfire; Northzone,"Berlin, Germany",Berlin,Germany,Europe,2020,active,,"StartupIntros, Blossom (official)",https://www.blossom.team/about,2026-02-28,2026-09-07,2026-09-07,partial,project-management; dev-teams,Original repo claimed 'Series A $22M' — unsupported; corrected to seed.
045,deepjudge,DeepJudge,Precision AI search and agentic research for law firms,DeepJudge provides AI-powered enterprise search and multi-step agentic research over a law firm's own knowledge base. It raised a $41.2M Series A led by Felicis in November 2025 — roughly double earlier reported figures — to scale adoption across US and UK legal markets.,https://www.deepjudge.ai,SaaS,Legal Search,Series A,$41.2M,41200000,Undisclosed,,~$47M across 3 rounds,2025-11-04,Felicis Ventures; Y Combinator; Creator Fund,"Zurich, Switzerland",Zurich,Switzerland,Europe,2021,active,,"Startupticker, Forbes, Law.com",https://www.deepjudge.ai/news,2026-02-28,2026-09-07,2026-09-07,verified,legal-ai; enterprise-search,
046,omnea,Omnea,Agentic procurement and supplier management platform,"Omnea provides AI-powered procurement — intake, sourcing, and supplier risk — marketed as the agentic operating system for procurement. It raised a $50M Series B led by Insight Partners and Khosla Ventures in September 2025, up from a $25M Series A in 2024.",https://www.omnea.co,SaaS,Procurement,Series B,$50M,50000000,~$400M (est.),400000000,$75M+ across 4 rounds,2025-09-17,Insight Partners; Khosla Ventures; Northzone; Chalfen Ventures,"London, UK",London,UK,Europe,2022,active,,"Omnea (official), TechCrunch",https://www.omnea.co/news,2026-02-28,2026-09-07,2026-09-07,verified,procurement; spend; agentic,
047,owner,Owner,AI growth platform for independent restaurants,"Owner provides an AI-powered operating platform for local restaurants — websites, ordering, marketing, and retention — competing with DoorDash-owned tooling. It raised $240M at a $2.3B valuation in August 2026, led by Goldman Sachs Alternatives' growth equity, with $100M+ ARR.",https://owner.com,SaaS,Restaurant Tech,Series E,$240M,240000000,$2.3B (Aug 2026),2300000000,$375M+ across 5 rounds,2026-08-28,Goldman Sachs Alternatives; Meritech Capital; Redpoint; Headline,"New York, USA",New York,USA,North America,2018,active,,"Intellectia, Simplify, Bitpush, Goldman Sachs",https://owner.com/press,2026-09-07,2026-09-07,2026-09-07,verified,restaurants; local-business; ai-growth,
048,sorcejobs,Sorce,Swipe-based job search where AI agents apply on your behalf (YC),Sorce is a Tinder-style job search app where swiping right triggers an AI agent that applies to the role on the company's site; it has indexed 4M+ jobs and submitted 1M+ applications. The YC-backed startup secured ~$500K in early funding in 2026.,https://www.sorce.jobs,SaaS,Recruiting,Pre-Seed,~$500K,500000,Undisclosed,,~$500K,2026-05-27,Y Combinator,"San Francisco, USA",San Francisco,USA,North America,2025,active,,"Y Combinator, SignalBase",https://www.ycombinator.com/companies/sorce,2026-09-07,2026-09-07,2026-09-07,partial,jobs; ai-agents; consumer,
049,anysphere,Anysphere,Cursor — the AI-native code editor and coding agent,"Anysphere builds Cursor, the AI-native code editor and agent platform that became the fastest software company to scale revenue — from ~$100M to $2B+ annualized between late 2025 and early 2026. Its $2.3B Series D at a $29.3B valuation (Nov 2025) was followed in June 2026 by SpaceX's agreement to acquire the company for $60B in an all-stock deal, expected to close in Q3 2026.",https://cursor.com,DevTools,AI Coding,Series D,$2.3B,2300000000,$29.3B post-money (Nov 2025); $60B acquisition price (Jun 2026),29300000000,~$3.4B across 6 rounds,2025-11-13,Accel; Coatue Management; Thrive Capital; a16z; OpenAI Startup Fund,"San Francisco, USA",San Francisco,USA,North America,2022,pending_acquisition,"SpaceX agreed to acquire Anysphere for $60B in stock (announced Jun 16, 2026; expected close Q3 2026).","Cursor (official), Reuters, CNBC, WSJ",https://cursor.com/blog/series-d,2026-02-28,2026-09-07,2026-09-07,verified,cursor; coding; ide,
050,clickhouse,ClickHouse,Real-time analytics database powering AI and observability workloads,"ClickHouse develops the namesake open-source columnar database for real-time analytics at extreme scale, adopted across AI and observability stacks. It raised $400M at a $15B valuation in January 2026, led by Dragoneer with Bessemer, GIC, Index, and Khosla participating — up sharply from its $6B mid-2025 round.",https://clickhouse.com,DevTools,Databases,Series C,$400M,400000000,$15B (Jan 2026),15000000000,~$1.05B across 7 rounds,2026-01-16,Dragoneer Investment Group; Bessemer Venture Partners; GIC; Index Ventures; Khosla Ventures,"San Francisco, USA",San Francisco,USA,North America,2021,active,,"ClickHouse (official), Bloomberg",https://clickhouse.com/blog,2026-09-07,2026-09-07,2026-09-07,verified,olap; analytics; open-source,
051,lovable,Lovable,AI app builder that turns prompts into full-stack products,"Lovable is Europe's fastest-growing AI app builder, generating full-stack web applications from natural-language prompts. It raised a $400M Series C at a $13.3B valuation in August 2026, led by Menlo Ventures with EQT's Scaleup Europe Fund co-leading — double its December 2025 valuation of $6.6B. Total funding is ~$1.05B.",https://lovable.dev,DevTools,AI App Builders,Series C,$400M,400000000,$13.3B (Aug 2026),13300000000,~$1.05B across 5 rounds,2026-08-12,Menlo Ventures; EQT Scaleup Europe Fund; Accel; Creandum,"Stockholm, Sweden",Stockholm,Sweden,Europe,2023,active,,"Reuters, TechCrunch, Lovable (official)",https://lovable.dev/blog,2026-09-07,2026-09-07,2026-09-07,verified,vibe-coding; app-builder; europe,
052,minitap,Minitap,AI mobile app development platform (AndroidWorld record holder),"Minitap accelerates mobile feature development with AI, cutting launch times from six weeks to days, and topped DeepMind's AndroidWorld benchmark. The Paris-based startup raised a €3.5M (~$4.1M) seed co-led by Moxxie Ventures and Mercuri in December 2025.",https://minitap.ai,DevTools,Mobile Development,Seed,€3.5M (~$4.1M),4100000,Undisclosed,,~$4.1M,2025-12-08,Moxxie Ventures; Mercuri; Kima Ventures,"Paris, France",Paris,France,Europe,2024,active,,"French Tech Journal, Tracxn, LinkedIn/press",https://minitap.ai/blog,2026-05-30,2026-09-07,2026-09-07,partial,mobile; ai-agents; androidworld,
053,momentic,Momentic,AI-powered end-to-end testing for web applications,"Momentic automates end-to-end web testing with AI agents that write, heal, and maintain tests without brittle selectors. It raised a $15M Series A led by Standard Capital with Dropbox Ventures participating; total funding is ~$19.2M.",https://www.momentic.ai,DevTools,Testing,Series A,$15M,15000000,Undisclosed,,$19.2M across 3 rounds,2025-03-15,Standard Capital; Dropbox Ventures; Y Combinator,"San Francisco, USA",San Francisco,USA,North America,2023,active,,"LinkedIn/press, SaaS Startups",https://www.momentic.ai/blog,2026-05-30,2026-09-07,2026-09-07,partial,testing; qa; ai-agents,
054,openrouter,OpenRouter,Unified API gateway routing traffic across 400+ AI models,OpenRouter provides a single API that routes application traffic across 400+ models from all major labs with automatic failover and price optimization. Stripe agreed to acquire the company for $7.5B in August 2026 — roughly three years after its 2023 founding — to embed model routing into its AI-era payments stack.,https://openrouter.ai,DevTools,AI Gateways,Series Unknown,$7.5B (acquisition price),7500000000,"$7.5B (Stripe acquisition, Aug 2026)",7500000000,~$100M+ (reported),,Undisclosed,"New York, USA",New York,USA,North America,2023,pending_acquisition,"Stripe acquisition for $7.5B announced Aug 19, 2026 (NYT-sourced price).","NYT, TechCrunch, Stripe (official)",https://stripe.com/newsroom/news/stripe-acquires-openrouter,2026-09-07,2026-09-07,2026-09-07,verified,model-routing; inference; api,
055,replit,Replit,Cloud IDE and agentic platform for building software (Replit Agent),"Replit lets anyone build and deploy software from the browser, with its AI Agent generating complete applications from natural language. It raised a $400M Series D at a $9B valuation in March 2026, led by Georgian with a16z and Qatar Investment Authority — tripling from $3B six months earlier as ARR jumped from $2.8M to ~$150M in under a year.",https://replit.com,DevTools,AI Coding,Series D,$400M,400000000,$9B (Mar 2026),9000000000,~$850M across 12 rounds,2026-03-11,Georgian; a16z; Qatar Investment Authority; Prysm Capital; Amex Ventures,"Foster City, USA",Foster City,USA,North America,2016,active,,"Replit (official), CNBC, TribeTechie",https://replit.com/news,2026-01-30,2026-09-07,2026-09-07,verified,vibe-coding; agent; cloud-ide,
056,rork,Rork,AI builder that creates complete mobile apps from prompts (YC),"Rork generates and publishes complete React Native mobile apps from natural-language prompts, one of the notable AI app builders from YC's 2025 batches. No credible institutional round has been confirmed as of September 2026; funding figures from the original tracker could not be verified.",https://rork.com,DevTools,AI App Builders,Seed,N/A,,Undisclosed,,Undisclosed (YC-backed),,Y Combinator,"San Francisco, USA",San Francisco,USA,North America,2025,active,,Y Combinator,https://www.ycombinator.com/companies/rork,2026-05-30,2026-09-07,2026-09-07,unverified,mobile-apps; app-builder; yc,Company verified to exist; funding unverified.
057,stackblitz,StackBlitz,bolt.new — AI web app builder running dev environments in the browser,"StackBlitz created bolt.new, an AI app builder that generates, runs, and deploys full-stack web apps in-browser via WebContainers. It raised a $105.5M Series B at a ~$700M valuation (Jan 2025), with total funding of ~$135M, and was reportedly in discussions to raise at a materially higher valuation through 2026 amid extreme traffic growth.",https://stackblitz.com,DevTools,AI App Builders,Series B,$105.5M,105500000,~$700M (Jan 2025),700000000,~$135M across 3 rounds,2025-01-15,Menlo Ventures; GV; a16z,"San Francisco, USA",San Francisco,USA,North America,2017,active,,"Sacra, Tracxn, Panto",https://sacra.com/c/stackblitz-bolt-new/,2026-09-07,2026-09-07,2026-09-07,partial,bolt.new; webcontainers; app-builder,
058,stackone,StackOne,Unified API connecting AI agents to enterprise SaaS and HR systems,"StackOne provides a unified integration layer that lets AI agents and SaaS products connect securely with enterprise systems like HRIS and ATS platforms. It has raised $24.4M across 3 rounds since 2023, most recently a Series A, as agentic integration demand accelerates.",https://www.stackone.com,DevTools,Integrations,Series A,$15M (latest),15000000,Undisclosed,,$24.4M across 3 rounds,2025-05-15,Episode 1 Ventures; Hambro Perks; M12,"London, UK",London,UK,Europe,2023,active,,"Tracxn, StackOne (official)",https://www.stackone.com/blog,2026-04-30,2026-09-07,2026-09-07,partial,integrations; unified-api; agents,
059,supabase,Supabase,"Open-source Postgres backend-as-a-service, the AI app database","Supabase provides an open-source Firebase alternative built on Postgres — auth, storage, realtime, vectors — and has become the default backend for AI-generated apps. It raised a $500M Series F at a $10.5B post-money valuation in June 2026, led by GIC, doubling its valuation in eight months with ~10M registered developers.",https://supabase.com,DevTools,Database & Backend,Series F,$500M,500000000,$10.5B post-money (Jun 2026),10500000000,~$1.04B across 7 rounds,2026-06-04,GIC; Accel; Peak XV; YC Continuity; Coatue,"San Francisco, USA",San Francisco,USA,North America,2020,active,,"Supabase (official), CNBC, TechCrunch",https://supabase.com/blog,2026-09-07,2026-09-07,2026-09-07,verified,postgres; backend; open-source,
060,vercel,Vercel,Frontend cloud for Next.js and AI-native web apps (v0),"Vercel operates the leading frontend cloud for Next.js and runs v0, its generative UI/app builder. It closed a $300M Series F at a $9.3B post-money valuation in September–November 2025, co-led by Accel and GIC, up from a $3.25B Series E in 2024.",https://vercel.com,DevTools,Frontend Cloud,Series F,$300M,300000000,$9.3B post-money (Sep 2025),9300000000,~$1.3B across 9 rounds,2025-09-30,Accel; GIC; GV; Bedrock Capital; Salesforce Ventures,"San Francisco, USA",San Francisco,USA,North America,2015,active,,"Vercel (official), Reuters, GIC",https://vercel.com/blog/series-f,2026-05-30,2026-09-07,2026-09-07,verified,nextjs; v0; edge,
061,atmos-financial,Atmos Financial,Climate-focused banking that funds clean energy via deposits,"Atmos Financial channels deposits into solar loans, battery storage, heat pumps, and EV charging financing as a public benefit corporation. It has raised $23M across 5 rounds, most recently a $13M Series A in November 2022, and continues scaling clean-economy lending as a niche climate-fintech.",https://www.joinatmos.com,FinTech,Climate Fintech,Series A,$13M,13000000,Undisclosed,,$23M across 5 rounds,2022-11-01,Cindy Bi; Julian Weisser; Summit Progress,"Los Angeles, USA",Los Angeles,USA,North America,2019,active,,"StartupIntros, Climatebase, Impakter",https://www.joinatmos.com/about,2026-05-30,2026-09-07,2026-09-07,partial,climate; banking; clean-energy,No funding since Nov 2022; verified as operating as of Sep 2026.
062,brex,Brex,AI-powered fintech for startups; acquired by Capital One,"Brex offered corporate cards, banking, and AI expense automation for startups and SMBs, reaching a $12.3B peak valuation in 2021. Capital One announced its acquisition for $5.15B in cash and stock on January 23, 2026 — below peak but a landmark consolidation of startup banking.",https://www.brex.com,FinTech,Startup Banking,Series D,$425M,425000000,"$5.15B (Capital One acquisition, Jan 2026)",5150000000,~$1.5B across 12 rounds,2022-01-10,Ribble Ventures; DST Global; Greenoaks; Y Combinator Continuity,"San Francisco, USA",San Francisco,USA,North America,2017,acquired,"Capital One announced $5.15B acquisition on January 23, 2026.","Crunchbase News, Capital One IR, LinkedIn analysis",https://investor.capitalone.com,2026-09-07,2026-09-07,2026-09-07,verified,corporate-cards; banking,
063,harmonic-insurance,Harmonic,AI insurance verification and payer-policy automation for healthcare,"Harmonic automates insurance verification and payer-policy workflows for dental and medical providers using AI. It has raised $295M across 3 rounds, most recently a $120M Series C in November 2025, as it expands AI revenue-cycle automation for care organizations.",https://www.harmonic.ai,FinTech,InsurTech,Series C,$120M,120000000,~$800M (est.),800000000,$295M across 3 rounds,2025-11-15,Northwestern Mutual Future Ventures; Tribe Capital; 8VC,"San Francisco, USA",San Francisco,USA,North America,2019,active,,"StartupIntros, Harmonic (official)",https://www.harmonic.ai/about,2026-05-30,2026-09-07,2026-09-07,partial,insurance; verification; revenue-cycle,"Original repo listed it as 'Harmonic — project management, Series A $18M' — corrected."
064,lemonade,Lemonade,"AI-powered renters, homeowners & pet insurance; NYSE-listed","Lemonade uses AI chatbots (Maya, Jim) to quote, underwrite, and process claims for renters, homeowners, car, and pet insurance. Publicly traded on NYSE (LMND) since July 2020 after raising ~$800M privately — included as a public-company reference for AI-native insurance tracking.",https://www.lemonade.com,FinTech,InsurTech,IPO,N/A (public since Jul 2020),,Public market cap (NYSE: LMND),,~$800M raised pre-IPO across 8 rounds,,SoftBank; Sequoia Capital; GV; General Catalyst; Aleksey (THRIVE),"New York, USA",New York,USA,North America,2015,public,Publicly traded on NYSE (LMND) since July 2020.,"Startup Nation Finder, Yahoo Finance, Lemonade IR",https://investor.lemonade.com,2026-05-30,2026-09-07,2026-09-07,verified,insurance; insurtech; public,
065,maven,Maven,PCI-compliant payments infrastructure for voice AI agents,"Maven builds payments infrastructure that lets voice AI agents collect card payments securely during live calls via a single API. It raised a $9.5M seed in January 2026 from Quiet Capital, Slow Ventures, and Moxxie, and is part of Y Combinator's W26 batch, consistently doubling revenue.",https://www.ycombinator.com/companies/maven,FinTech,AI Payments,Seed,$9.5M,9500000,Undisclosed,,$9.5M,2026-01-31,Quiet Capital; Slow Ventures; Moxxie Ventures; Y Combinator,"San Francisco, USA",San Francisco,USA,North America,2025,active,,"Newcomer, Y Combinator",https://www.ycombinator.com/companies/maven,2026-05-30,2026-09-07,2026-09-07,partial,voice-ai; payments; agents,No independent website confirmed as of Sep 2026; YC page used as canonical link.
066,mercury,Mercury,Banking and financial stack for startups and SMBs,"Mercury provides banking, credit cards, and Treasury for startups, scaling to 200K+ customers. It raised a $200M Series D at a $5.2B valuation in May 2026, led by TCV — up 49% in 14 months — as applications jumped 2.5x year-over-year.",https://mercury.com,FinTech,Startup Banking,Series D,$200M,200000000,$5.2B (May 2026),5200000000,$500M+ across 5 rounds,2026-05-20,TCV; Sequoia Capital; a16z; CRV; Coatue,"San Francisco, USA",San Francisco,USA,North America,2017,active,,"CNBC, Mercury (official), Crunchbase News",https://mercury.com/newsroom,2026-09-07,2026-09-07,2026-09-07,verified,banking; startups; treasury,
067,plaid,Plaid,"Financial data network connecting apps to 12,000+ banks","Plaid operates the leading financial data network powering payments, lending, and fintech apps, connecting to 12,000+ institutions. It secured an $8B valuation in a February 2026 round and employee share sale, up 31% from $6.1B in April 2025, with a long-anticipated IPO reportedly on deck.",https://plaid.com,FinTech,Financial Infrastructure,Series G,$575M,575000000,$8B (Feb 2026),8000000000,~$1.4B across 10 rounds,2026-02-26,Franklin Templeton; Khosla Ventures; Silver Lake; Altos Ventures,"San Francisco, USA",San Francisco,USA,North America,2013,active,,"Bloomberg, Yahoo Finance, Crunchbase News",https://plaid.com/about/press/,2026-09-07,2026-09-07,2026-09-07,verified,open-banking; api; data-network,
068,ramp,Ramp,"AI-powered corporate cards, spend management, and procurement","Ramp provides corporate cards and AI-driven spend management that automates expense workflows and finds savings. It raised $750M at a $44B valuation on June 4, 2026 — led by ICONIQ, GIC, and Ontario Teachers' — up from $32B in November 2025, after surpassing $1B in annualized revenue.",https://ramp.com,FinTech,Spend Management,Series G,$750M,750000000,$44B (Jun 2026),44000000000,$2.3B+ across 9 rounds,2026-06-04,ICONIQ; GIC; Ontario Teachers' Pension Plan; Founders Fund; Thrive Capital,"New York, USA",New York,USA,North America,2019,active,,"Ramp (official), Bloomberg, Reuters, CNBC",https://ramp.com/blog,2026-09-07,2026-09-07,2026-09-07,verified,corporate-cards; spend-management; ai-agents,
069,stripe,Stripe,Payments and programmable financial infrastructure for the internet,"Stripe is the private fintech giant powering internet payments, now near $2T in total volume processed. A February 2026 employee tender offer valued it at $159B — a 70%+ jump — led by Thrive, Coatue, and a16z, and it agreed in August 2026 to acquire AI model gateway OpenRouter for $7.5B as it builds the transaction layer for AI agents.",https://stripe.com,FinTech,Payments,Late Stage,$159B tender (secondary),,$159B (Feb 2026 tender),159000000000,$9.81B across 24 rounds,2026-02-24,Thrive Capital; Coatue Management; a16z; Sequoia Capital; GV,"San Francisco, USA",San Francisco,USA,North America,2010,active,IPO widely anticipated; last primary round $6.5B Series I at $50B (2023).,"CNBC, Yahoo Finance, Stripe (official), NYT",https://stripe.com/newsroom,2026-01-30,2026-09-07,2026-09-07,verified,payments; infrastructure; ai-payments,
070,abridge,Abridge,AI clinical documentation and care intelligence from conversations,"Abridge converts clinician-patient conversations into structured medical notes and revenue-cycle data, deployed at health systems including Epic-integrated UPMC. It raised a $300M Series E at a $5.3B valuation led by a16z in June 2025, reaffirmed by a $316M Series E extension; total funding is ~$773M with ~2,000 employees.",https://www.abridge.com,HealthTech,Clinical AI,Series E,$300M (+$316M extension),300000000,$5.3B (Jun 2025),5300000000,$773M across 8 rounds,2025-06-23,a16z; Khosla Ventures; Lightspeed Venture Partners; Bessemer Venture Partners; Emerson Collective,"Pittsburgh, USA",Pittsburgh,USA,North America,2018,active,,"Abridge (official), Fierce Healthcare, ValueAdd VC",https://www.abridge.com/blog,2026-01-30,2026-09-07,2026-09-07,verified,clinical-documentation; ambient-ai; epic,
071,avoca,Avoca,AI sales and customer-service agents for home services,"Avoca provides AI agents that answer, qualify, and book jobs for HVAC, plumbing, and home-service companies, and was among the fastest-scaling vertical AI startups. It has raised $125M across 3 rounds from Meritech, General Catalyst, Kleiner Perkins, and Y Combinator, with a 2026 round and $1B in booked jobs on track.",https://www.avoca.ai,HealthTech,Vertical AI Agents,Series B,$125M (total),125000000,Undisclosed,,$125M across 3 rounds,2026-04-27,Meritech Capital; General Catalyst; Kleiner Perkins; Amplify Partners; Y Combinator,"New York, USA",New York,USA,North America,2022,active,,"PitchBook, PR Newswire, Y Combinator",https://www.ycombinator.com/companies/avoca,2026-05-30,2026-09-07,2026-09-07,partial,vertical-ai; home-services; sales-agents,Original repo categorized as HealthTech with SF HQ — corrected (NYC; vertical AI for home services).
072,beacon-health,Beacon Health,AI employees for primary care practices (YC W26),"Beacon Health builds AI agents that work inside any EHR like a human employee, doubling revenue for primary care practices while reducing total cost of care. It emerged from Y Combinator's W26 batch with ~$5.4M in early funding from YC and primary-care physicians.",https://www.beaconhealth.ai,HealthTech,Clinical AI,Seed,~$5.4M,5400000,Undisclosed,,~$5.4M,2026-05-30,Y Combinator; Primary-care physicians & founders,"San Francisco, USA",San Francisco,USA,North America,2025,active,,"Y Combinator, Extruct, Beacon Health (official)",https://www.ycombinator.com/companies/beacon-health,2026-05-30,2026-09-07,2026-09-07,partial,yc-w26; ehr-agents; primary-care,
073,hippocratic-ai,Hippocratic AI,Safety-focused AI agents for patient-facing healthcare tasks,"Hippocratic AI builds voice AI agents for non-diagnostic patient tasks — pre-op prep, follow-ups, medication reminders — with an emphasis on safety certification. It raised a $126M Series C at a $3.5B valuation in November 2025, led by Avenir Growth, after a $141M Series B at $1.64B in January 2025.",https://www.hippocraticai.com,HealthTech,Patient Agents,Series C,$126M,126000000,$3.5B (Nov 2025),3500000000,~$320M across 4 rounds,2025-11-03,Avenir Growth; General Catalyst; Kleiner Perkins; Nvidia; Universal Health Services,"Palo Alto, USA",Palo Alto,USA,North America,2023,active,,"Fierce Healthcare, LinkedIn/press, MobiHealthNews",https://www.hippocraticai.com/news,2026-09-07,2026-09-07,2026-09-07,verified,patient-agents; voice-ai; safety,
074,k-health,K Health,AI-powered primary care combining data and telehealth,K Health provides AI-driven primary care — symptom assessment plus clinician-backed telehealth — using anonymized health records for triage. Its most recent major round was ~$50M in July 2024 led by Claure Group; total funding across 13 rounds is ~$439M.,https://khealth.com,HealthTech,Telehealth,Series F,$50M,50000000,~$1.5B (est.),1500000000,~$439M across 13 rounds,2024-07-01,Claure Group; General Catalyst; Bold Capital; 3L; Mangrove Capital,"New York, USA",New York,USA,North America,2016,active,,"Fierce Healthcare, Business Wire, EquityBee",https://khealth.com/about,2026-01-30,2026-09-07,2026-09-07,partial,primary-care; triage; telehealth,Original repo listed 'Series E $132M' — corrected per primary reporting.
075,openevidence,OpenEvidence,AI medical knowledge platform used by 40% of US physicians,"OpenEvidence provides an AI-powered evidence search and clinical decision platform that became the fastest-adopted physician tool in history, free for verified clinicians and monetized via pharma advertising. It closed a $250M Series D at a $12B valuation in January 2026, with annualized revenue hitting $300M and reports of a raise at $20B in July 2026.",https://www.openevidence.com,HealthTech,Clinical AI,Series D,$250M,250000000,$12B (Jan 2026),12000000000,~$893M across 5 rounds,2026-01-21,Sequoia Capital; Kleiner Perkins; Coatue Management; GV; Conviction,"Miami, USA",Miami,USA,North America,2021,active,,"Becker's Hospital Review, mobihealthnews, PR Newswire",https://www.openevidence.com/news,2026-09-07,2026-09-07,2026-09-07,verified,clinical-decision; evidence; physicians,Jul 2026: reportedly weighed $200M raise at $20B (The Information).
